,ML_model,mean_fit_time,mean_score_time,mean_test_accuracy,mean_test_f1_score,mean_test_precision,mean_test_recall,param_C,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_penalty,param_solver,params,rank_test_accuracy,rank_test_f1_score,rank_test_precision,rank_test_recall,split0_test_accuracy,split0_test_f1_score,split0_test_precision,split0_test_recall,split1_test_accuracy,split1_test_f1_score,split1_test_precision,split1_test_recall,split2_test_accuracy,split2_test_f1_score,split2_test_precision,split2_test_recall,split3_test_accuracy,split3_test_f1_score,split3_test_precision,split3_test_recall,split4_test_accuracy,split4_test_f1_score,split4_test_precision,split4_test_recall,std_fit_time,std_score_time,std_test_accuracy,std_test_f1_score,std_test_precision,std_test_recall
0,LogisticRegression,3.090815210342407,0.014411830902099609,0.563,0.3578483838825305,0.2580015807294706,0.5841132777988136,1e-10,,,,,,,,,l2,lbfgs,"{'C': 1e-10, 'penalty': 'l2', 'solver': 'lbfgs'}",34,50,48,50,0.559720139930035,0.3583394027676621,0.25759162303664923,0.5885167464114832,0.5537231384307846,0.3260377358490566,0.23814773980154355,0.5167464114832536,0.57,0.37590711175616837,0.2695109261186264,0.6211031175059952,0.5732866433216608,0.3610486891385767,0.2625272331154684,0.5779376498800959,0.5582791395697849,0.36793128131710806,0.26224489795918365,0.6163069544364509,0.007920030021965386,0.002108685693447946,0.007401399255895974,0.017033102949868113,0.01063459726286068,0.03742257662751769
1,LogisticRegression,1.9100729465484618,0.013121652603149413,0.5615,0.3593195689280751,0.2584133117568896,0.5898617855954471,2.5595479226995335e-10,,,,,,,,,l2,lbfgs,"{'C': 2.5595479226995335e-10, 'penalty': 'l2', 'solver': 'lbfgs'}",35,48,44,49,0.5582208895552224,0.3603473227206947,0.258298755186722,0.5956937799043063,0.5527236381809095,0.3285821455363841,0.23934426229508196,0.5239234449760766,0.5675,0.37454808387563276,0.26811594202898553,0.6211031175059952,0.5712856428214107,0.3618763961280715,0.26241900647948163,0.5827338129496403,0.5577788894447223,0.3712660028449502,0.2639029322548028,0.6258992805755396,1.4857302457025412,0.0021283626177148827,0.006831861343629745,0.016293594362203744,0.010041145933875468,0.03663037800302005
2,LogisticRegression,0.1074173927307129,0.011092376708984376,0.5602,0.359006481220942,0.2579098275334673,0.5908205385930491,6.551285568595495e-10,,,,,,,,,l2,lbfgs,"{'C': 6.551285568595495e-10, 'penalty': 'l2', 'solver': 'lbfgs'}",36,49,50,48,0.5567216391804098,0.35956678700361017,0.25749741468459153,0.5956937799043063,0.5517241379310345,0.32808988764044944,0.23882224645583425,0.5239234449760766,0.5665,0.37400722021660654,0.2675619834710744,0.6211031175059952,0.5702851425712856,0.3622865627319971,0.2623655913978495,0.5851318944844125,0.5557778889444722,0.3711048158640227,0.2633165829145729,0.6282973621103117,0.006474282026196734,0.0007509619282787019,0.00699822457065266,0.01636276271291188,0.010068907536207282,0.03702541889554954
3,LogisticRegression,0.11790308952331544,0.013233089447021484,0.5601,0.3595405997726315,0.25818822563430033,0.5922573313597925,1.67683293681101e-09,,,,,,,,,l2,lbfgs,"{'C': 1.67683293681101e-09, 'penalty': 'l2', 'solver': 'lbfgs'}",37,45,46,47,0.5562218890554723,0.35930735930735935,0.2572314049586777,0.5956937799043063,0.5527236381809095,0.33059087509349294,0.24047878128400435,0.5287081339712919,0.5665,0.37400722021660654,0.2675619834710744,0.6211031175059952,0.5707853926963482,0.36350148367952523,0.2631578947368421,0.5875299760191847,0.5542771385692846,0.3703180212014134,0.2625250501002004,0.6282973621103117,0.012599431985714107,0.00500271607490809,0.007189638016807512,0.015359808793947438,0.009445087988521679,0.03522778815001039
4,LogisticRegression,0.12808737754821778,0.012667083740234375,0.5597,0.3595096517734924,0.2580644943301309,0.592736947666747,4.291934260128778e-09,,,,,,,,,l2,lbfgs,"{'C': 4.291934260128778e-09, 'penalty': 'l2', 'solver': 'lbfgs'}",38,46,47,46,0.5567216391804098,0.35956678700361017,0.25749741468459153,0.5956937799043063,0.552223888055972,0.33034379671150976,0.24021739130434783,0.5287081339712919,0.566,0.3746397694524496,0.26776519052523173,0.6235011990407674,0.5697848924462231,0.362962962962963,0.26259378349410506,0.5875299760191847,0.5537768884442221,0.3700564971751412,0.26226226226226224,0.6282973621103117,0.008145675538616037,0.0017830543861796972,0.006945576670281495,0.015511904315961417,0.009499686740359024,0.035631264417571216
5,LogisticRegression,0.11971735954284668,0.013847827911376953,0.5596,0.35943494309112844,0.25798624810387255,0.5927385242045597,1.0985411419875573e-08,,,,,,,,,l2,lbfgs,"{'C': 1.0985411419875573e-08, 'penalty': 'l2', 'solver': 'lbfgs'}",39,47,49,45,0.5577211394302849,0.3591600289645185,0.25752855659397716,0.5933014354066986,0.552223888055972,0.3293413173652695,0.23965141612200436,0.5263157894736842,0.566,0.37553956834532376,0.2682425488180884,0.6258992805755396,0.5682841420710355,0.36309963099631,0.2622601279317697,0.5899280575539568,0.5537768884442221,0.3700564971751412,0.26226226226226224,0.6282973621103117,0.003304055349523108,0.0018021934198219536,0.006452819589119159,0.016072945701111528,0.009780260815824646,0.036839739360337506
6,LogisticRegression,0.13562994003295897,0.014069318771362305,0.5595,0.35996933022309635,0.25825363898536513,0.5941730720686609,2.8117686979742307e-08,,,,,,,,,l2,lbfgs,"{'C': 2.8117686979742307e-08, 'penalty': 'l2', 'solver': 'lbfgs'}",40,44,45,44,0.5572213893053474,0.3598265895953757,0.2577639751552795,0.5956937799043063,0.552223888055972,0.33333333333333337,0.24190064794816415,0.5358851674641149,0.5645,0.3738317757009346,0.2669404517453799,0.6235011990407674,0.5662831415707854,0.35920177383592017,0.25961538461538464,0.5827338129496403,0.5572786393196598,0.3736730360934183,0.26506024096385544,0.6330935251798561,0.016867881509365124,0.002238626593473167,0.0051784731103044265,0.01476689104189504,0.00884776493882752,0.034369948483530956
7,LogisticRegression,0.17229142189025878,0.012029504776000977,0.5573,0.3615590236773086,0.2585432960351534,0.6013610460913565,7.196856730011529e-08,,,,,,,,,l2,lbfgs,"{'C': 7.196856730011529e-08, 'penalty': 'l2', 'solver': 'lbfgs'}",43,43,43,43,0.5527236381809095,0.36117059243397576,0.25737538148524924,0.6052631578947368,0.5497251374312844,0.33209785025945143,0.24060150375939848,0.5358851674641149,0.5635,0.37329504666188085,0.26639344262295084,0.6235011990407674,0.5632816408204102,0.3623082542001461,0.2605042016806723,0.5947242206235012,0.5572786393196598,0.37894736842105264,0.26785714285714285,0.6474820143884892,0.034316299085790654,0.0026358492816964912,0.0055238280963629946,0.016180508834120415,0.00975300947407188,0.037322272875882974
8,LogisticRegression,0.22612438201904297,0.015242862701416015,0.5507,0.3684279979321773,0.26063210626902894,0.628671384232327,1.8420699693267165e-07,,,,,,,,,l2,lbfgs,"{'C': 1.8420699693267165e-07, 'penalty': 'l2', 'solver': 'lbfgs'}",46,42,40,42,0.5467266366816592,0.36529041287613717,0.258160237388724,0.6244019138755981,0.5452273863068465,0.34532374100719426,0.24691358024691357,0.5741626794258373,0.5505,0.3735191637630662,0.2632612966601179,0.6426858513189448,0.5587793896948474,0.3672883787661406,0.26202661207778916,0.6139088729016786,0.5522761380690345,0.3907420013614704,0.27281368821292773,0.6882494004796164,0.010619460186113696,0.006884182557371266,0.004765015297597975,0.014620579997160191,0.008385443404537356,0.037290522396549335
9,LogisticRegression,0.29042644500732423,0.02075486183166504,0.5381,0.3725824347072153,0.2599675537641547,0.6579047795256618,4.7148663634573897e-07,,,,,,,,,l2,lbfgs,"{'C': 4.7148663634573897e-07, 'penalty': 'l2', 'solver': 'lbfgs'}",48,41,41,41,0.5432283858070964,0.3765347885402455,0.2633587786259542,0.6602870813397129,0.5322338830584707,0.34361851332398313,0.24305555555555555,0.5861244019138756,0.5435,0.38683680322364,0.26865671641791045,0.6906474820143885,0.5472736368184092,0.37629221226740184,0.2640232108317215,0.6546762589928058,0.5242621310655328,0.3796477495107632,0.260752688172043,0.697841726618705,0.04954423861394201,0.007534172064859284,0.008548759357960763,0.014978607489995901,0.008834281555758989,0.03959126667252455
10,LogisticRegression,0.34255008697509765,0.012570381164550781,0.5288,0.3748230186154201,0.2591857949969571,0.6775488640666415,1.2067926406393288e-06,,,,,,,,,l2,lbfgs,"{'C': 1.2067926406393288e-06, 'penalty': 'l2', 'solver': 'lbfgs'}",49,40,42,38,0.5222388805597201,0.37187910643889616,0.2563405797101449,0.6770334928229665,0.5242378810594702,0.34972677595628415,0.2447418738049713,0.6124401913875598,0.5335,0.38739330269205513,0.2667269439421338,0.7074340527577938,0.5472736368184092,0.37886067261496226,0.2653846153846154,0.6618705035971223,0.5167583791895948,0.38627700127064807,0.2627484874675886,0.7290167865707434,0.01655189385000865,0.0027010832996772435,0.010695942214143427,0.013742211762201298,0.008059677297007408,0.040069838347496826
11,LogisticRegression,0.3148303508758545,0.012621688842773437,0.5279,0.38272215027948425,0.26318754145661466,0.7019903462875634,3.088843596477485e-06,,,,,,,,,l2,lbfgs,"{'C': 3.088843596477485e-06, 'penalty': 'l2', 'solver': 'lbfgs'}",50,39,39,3,0.5162418790604698,0.37142857142857144,0.2549019607843137,0.6842105263157895,0.5227386306846576,0.35862995298858297,0.24929971988795518,0.638755980861244,0.5335,0.3961165048543689,0.2712765957446808,0.7338129496402878,0.5487743871935968,0.38971583220568334,0.2714420358152686,0.6906474820143885,0.5182591295647824,0.3977485928705441,0.26903553299492383,0.762589928057554,0.040443880285148885,0.0018970660584370811,0.01202010709647563,0.015246703437368744,0.009266828042011172,0.04272847248007937
12,LogisticRegression,0.3448190689086914,0.01505279541015625,0.5395,0.39306419989190516,0.2710761786035393,0.7154015260518858,7.906043210907702e-06,,,,,,,,,l2,lbfgs,"{'C': 7.906043210907702e-06, 'penalty': 'l2', 'solver': 'lbfgs'}",47,37,38,1,0.5362318840579711,0.38461538461538464,0.26605504587155965,0.69377990430622,0.5362318840579711,0.3763440860215054,0.2616822429906542,0.6698564593301436,0.5485,0.40396039603960393,0.2786885245901639,0.7338129496402878,0.5457728864432216,0.38814016172506743,0.26991565135895035,0.6906474820143885,0.5307653826913457,0.4122807017543859,0.27905004240882103,0.7889688249400479,0.05463372148782303,0.0026493569382127027,0.006602373311759438,0.013139030298314154,0.006875452033695736,0.04219951843041942
